Ano2,Producao (t),tempo_pesca,tempo_pesca_dias,cpue,especie
2021,2300.496,26 days 00:13:35.783540022,26,88.481,PARGO (LUTJANUS PURPUREUS)
2022,2945.954,28 days 00:54:22.575859744,28,105.213,PARGO (LUTJANUS PURPUREUS)
2023,2462.853,27 days 17:59:57.192982456,27,91.217,PARGO (LUTJANUS PURPUREUS)
2024,3812.907,26 days 13:25:39.577520924,26,146.650,PARGO (LUTJANUS PURPUREUS)
2021,107.077,24 days 23:14:40.387409201,24,4.462,PARGO-PIRANGA (RHOMBOPLITES AURORUBENS)
2022,175.660,26 days 12:42:23.589743589,26,6.756,PARGO-PIRANGA (RHOMBOPLITES AURORUBENS)
2023,101.225,26 days 07:55:30.937836866,26,3.893,PARGO-PIRANGA (RHOMBOPLITES AURORUBENS)
2024,210.546,25 days 18:00:33.311302049,25,8.422,PARGO-PIRANGA (RHOMBOPLITES AURORUBENS)
2021,5.816,18 days 08:58:10.909090909,18,0.323,PARGO OLHUDO (RHOMBOPLITES AURORUBENS)
2022,2.797,20 days 15:52:56.470588235,20,0.140,PARGO OLHUDO (RHOMBOPLITES AURORUBENS)
2021,12.234,24 days 22:00:00,24,0.510,PARGO OLHO AMARELO (LUTJANUS VIVANNUS)
2023,0.477,31 days 20:34:17.142857143,31,0.015,PARGO OLHO AMARELO (LUTJANUS VIVANNUS)
2022,0.243,16 days 00:00:00,16,0.015,PARGO ROSA (PAGRUS PAGRUS)
2024,5.056,22 days 01:13:50.769230769,22,0.230,PARGO OLHO DE VIDRO (HETEROPRIACANTHUS CRUENTATUS)
